Song ID,Title,Artist,Original artist,Canonical,Class label
1,One hundred years,The Cure,The Cure,YES,100years
4,10:15 saturday night,The Cure,The Cure,YES,1015sat
7,Seventeen seconds,The Cure,The Cure,YES,17secs
14,Dos gardenias,Antonio Machin,Bobby Capo,YES,2gardeni
15,Six different ways,The Cure,The Cure,YES,6different
19,Across the universe,The Beatles,The Beatles,YES,across
29,A day in the life,The Beatles,The Beatles,YES,adayin
36,Adios nonino,Astor Piazzolla,Astor Piazzolla,YES,adiosnoni
38,A forest,The Cure,The Cure,YES,aforest
60,Agua de beber,Antonio Carlos Jobim,Vinicius de Moraes,YES,aguabeber
62,A letter to Elise,The Cure,The Cure,YES,aletterto
65,All by myself,Eric Carmen,Eric Carmen,YES,allbymys
68,All cats are grey,The Cure,The Cure,YES,allcatsare
70,All my loving,The Beatles,The Beatles,YES,allmyloving
74,All you need is love,The Beatles,The Beatles,YES,allyouneed
79,Amazonas,Joao Donato,Joao Donato,YES,amazonas
81,Amelitango,Astor Piazzolla,Astor Piazzolla,YES,amelitang
83,And I love her,The Beatles,The Beatles,YES,andilove
94,And your bird can sing,The Beatles,The Beatles,YES,andyourbird
96,Cuando los angeles lloran,Mana,Mana,YES,angelesll
98,Angie,The Rolling Stones,The Rolling Stones,YES,angie
105,A night like this,The Cure,The Cure,YES,anightlike
110,Antenne,Kraftwerk,Kraftwerk,YES,antenne
112,Any colour you like,Pink Floyd,Pink Floyd,YES,anycolour
118,Anything goes,Cole Porter,Cole Porter,YES,anythingo
122,Astronomy domine,Pink Floyd,Pink Floyd,YES,astronomy
126,Take the A train,Duke Ellington,Duke Ellington,YES,atrain
132,Autobahn,Kraftwerk,Kraftwerk,YES,autobahn
140,Back in the USSR,The Beatles,The Beatles,YES,backussr
143,Bad to me,The Beatles,The Beatles,YES,badtome
145,The battle of epping forest,Genesis,Genesis,YES,battleepp
155,Because,The Beatles,The Beatles,YES,because
159,Begin the Beguine,Cole Porter,Walters and Knight,YES,beginbeg
166,In the beginning,Genesis,Genesis,YES,beginning
168,Berimbau,Vinicius de Moraes,Vinicius de Moraes,YES,berimbau
172,Billy Jean,Michael Jackson,Michael Jackson,YES,billyjean
183,Birth of the blues,Frank Sinatra,Harry Richman,YES,birthblues
186,Black Bird,The Beatles,The Beatles,YES,blackbird
195,Black celebration,Depeche Mode,Depeche Mode,YES,blackceleb
197,Blasphemous rumors,Depeche Mode,Depeche Mode,YES,blasphemo
204,Bohemian Rapsody,Queen,Queen,YES,bohemianr
212,Boys dont cry,The Cure,The Cure,YES,boysdont
230,Brain damage,Pink Floyd,Pink Floyd,YES,braindama
240,Bring the boys back home,Pink Floyd,Pink Floyd,YES,bringboys
244,Buenos Aires hora cero,Astor Piazzolla,Astor Piazzolla,YES,buenosair
246,The continuing story of Bungalow Bill,The Beatles,The Beatles,YES,bungalow
253,Cant buy me love,The Beatles,The Beatles,YES,cantbuy
258,Can utility and the coastliners,Genesis,Genesis,YES,canutili
260,Careful with that axe Eugene,Pink Floyd,Pink Floyd,YES,carefulaxe
262,The carpet crawlers,Genesis,Genesis,YES,carpetcr
264,Carry that weight,The Beatles,The Beatles,YES,carryweight
268,Catch,The Cure,The Cure,YES,catch
270,Charlotte sometimes,The Cure,The Cure,YES,charlotte
276,Chega de saudade,Antonio Carlos Jobim,Elizete Cardoso,YES,chegadesau
281,Chica de ayer,Nacha pop,Nacha pop,YES,chicaayer
284,Cinema Paradiso Love theme,Ennio Morricone and Dulce Pontes,Ennio Morricone,YES,cinemapar
289,The cinema show,Genesis,Genesis,YES,cinemash
291,Close to me,The Cure,The Cure,YES,close2me
295,Come in number 51 your time is up,Pink Floyd,Pink Floyd,YES,comein51
297,Come together,The Beatles,The Beatles,YES,cometoget
311,Comfortably numb,Pink Floyd,Pink Floyd,YES,comfortab
322,Computer liebe,Kraftwerk,Kraftwerk,YES,computerlo
324,Corcovado,Antonio Carlos Jobim,Joao Gilberto,YES,corcovado
335,Crumbling land,Pink Floyd,Pink Floyd,YES,crumbling
344,Dont cry for me Argentina,Olivia Newton John,Julie Covington,YES,cryargenti
345,Ill cry instead,The Beatles,The Beatles,YES,cryinstead
352,Dancing with the Moonlit knight,Genesis,Genesis,YES,dancingwi
355,So danco samba,Antonio Carlos Jobim,Getz and Gilberto,YES,dancosamb
365,The model,Kraftwerk,Kraftwerk,YES,dasmodell
368,Day Tripper,The Beatles,The Beatles,YES,daytripper
375,Deaths door,Depeche Mode,Depeche Mode,YES,deathsdo
377,Decarissimo,Astor Piazzolla,Astor Piazzolla,YES,decarissi
380,Same deep water as you,The Cure,The Cure,YES,deepwater
382,Se dejaba llevar,Antonio Vega,Antonio Vega,YES,dejaballev
386,Dentaku,Kraftwerk,Kraftwerk,YES,dentaku
388,Der telefon anruf,Kraftwerk,Kraftwerk,YES,dertelefon
391,Desafinado,Antonio Carlos Jobim,Joao Gilberto,YES,desafinado
400,Die roboter,Kraftwerk,Kraftwerk,YES,dieroboter
410,Disintegration,The Cure,The Cure,YES,disintegr
414,Why dont we do it on the road,The Beatles,The Beatles,YES,doitroad
417,Dont leave me now,Pink Floyd,Pink Floyd,YES,dontleave
419,Dont let go,Manhattan Transfer,Manhattan Transfer,YES,dontletgo
421,Dont let me down,The Beatles,The Beatles,YES,dontletme
433,Drive my car,The Beatles,The Beatles,YES,drivemycar
439,Echoes,Pink Floyd,Pink Floyd,YES,echoes
443,Eight days a week,The Beatles,The Beatles,YES,eightdays
446,Eleanor Rigby,The Beatles,The Beatles,YES,eleanor
465,Electric cafe,Kraftwerk,Kraftwerk,YES,electricca
472,Empty spaces,Pink Floyd,Pink Floyd,YES,emptyspa
474,Endless love,Diana Ross and Lionel Richie,Diana Ross and Lionel Richie,YES,endlesslo
477,The end of the world,The Cure,The Cure,YES,endofwor
