Song ID,Title,Artist,Original artist,Canonical,Class label
1,One hundred years,The Cure,The Cure,YES,100years
2,100 years,Nosferatu,The Cure,,100years
3,One hundred years,The Cure,The Cure,,100years
4,10:15 saturday night,The Cure,The Cure,YES,1015sat
5,10:15 saturday night,The Cure,The Cure,,1015sat
6,10:15 saturday night,Candy Machine,The Cure,,1015sat
7,Seventeen seconds,The Cure,The Cure,YES,17secs
8,17 seconds,Lt No,The Cure,,17secs
9,Seventeen seconds,Whispers in shadows,The Cure,,17secs
10,Dos gardenias,Buena vista social club,Bobby Capo,,2gardeni
11,Dos gardenias,Unknown,Bobby Capo,,2gardeni
12,Dos gardenias,Lolita and Parrita,Bobby Capo,,2gardeni
13,Dos gardenias,Ana Maria Gonzalez,Bobby Capo,,2gardeni
14,Dos gardenias,Antonio Machin,Bobby Capo,YES,2gardeni
15,Six different ways,The Cure,The Cure,YES,6different
16,Six different ways,Chisel,The Cure,,6different
17,For absent friends,Steve Hackett,Genesis,,absentfri
18,For absent friends,Steve Hackett,Genesis,,absentfri
19,Across the universe,The Beatles,The Beatles,YES,across
20,Across the universe,Yo la tengo,The Beatles,,across
21,Across the universe,Suede,The Beatles,,across
22,Across the universe,The Beatles,The Beatles,,across
23,Across the universe,Lydia,The Beatles,,across
24,Across the universe,Roger Waters,The Beatles,,across
25,Across the universe,Fiona Apple,The Beatles,,across
26,Across the universe,The Beatles,The Beatles,,across
27,Across the universe,Selway and Morpho Eugenia,The Beatles,,across
28,Across the universe,Rufus Wainwright,The Beatles,,across
29,A day in the life,The Beatles,The Beatles,YES,adayin
30,A day in the life,Jeff Beck,The Beatles,,adayin
31,A day in the life,Frankie Valli,The Beatles,,adayin
32,A day in the life,Chocolate snow,The Beatles,,adayin
33,A day in the life,Les Demerle,The Beatles,,adayin
34,A day in the life,Sting,The Beatles,,adayin
35,A day in the life,Phish,The Beatles,,adayin
36,Adios nonino,Astor Piazzolla,Astor Piazzolla,YES,adiosnoni
37,Adios nonino,Quinteto da Paraiba,Astor Piazzolla,,adiosnoni
38,A forest,The Cure,The Cure,YES,aforest
39,A forest,Children within,The Cure,,aforest
40,A forest,The Cure,The Cure,,aforest
41,A forest,Death lies bleeding,The Cure,,aforest
42,A forest,Floodland,The Cure,,aforest
43,A forest,Dionysos,The Cure,,aforest
44,A forest,The Krauts,The Cure,,aforest
45,A forest,Ganymede,The Cure,,aforest
46,A forest,Kriegsbereit,The Cure,,aforest
47,A forest,Rasca y pica,The Cure,,aforest
48,A forest,Waltari,The Cure,,aforest
49,A forest,Madaski,The Cure,,aforest
50,A forest,Creaming Jesus,The Cure,,aforest
51,A forest,The Cure,The Cure,,aforest
52,A forest,Josh Rouse,The Cure,,aforest
53,A forest,Carpathian forest,The Cure,,aforest
54,A forest,One,The Cure,,aforest
55,A forest,Blank and Jones,The Cure,,aforest
56,Agua de beber,Astrud Gilberto,Vinicius de Moraes,,aguabeber
57,Agua de beber,Anna Lucia,Vinicius de Moraes,,aguabeber
59,Agua de beber,Astrud Gilberto,Vinicius de Moraes,,aguabeber
